date,total_value,ADBE,ASML,BRK.B,GOOGL,MCD,V,VOO
2025-10-27,539321.83,(46406.10|356.97),(81428.27|1052.45),(59928.84|491.22),(227613.96|264.36),(40943.84|304.98),(52084.44|349.56),(30916.39|627.54)
2025-10-24,533198.83,(45957.60|353.52),(79931.15|1033.10),(60036.20|492.10),(223791.13|259.92),(41052.58|305.79),(51759.62|347.38),(30670.55|622.55)
2025-10-23,525719.02,(46035.60|354.12),(80187.25|1036.41),(59799.52|490.16),(217901.88|253.08),(41211.00|306.97),(51548.04|345.96),(29035.73|617.44)
2025-10-22,522905.69,(46031.70|354.09),(78265.37|1011.57),(60000.82|491.81),(216705.09|251.69),(41632.54|310.11),(51458.64|345.36),(28811.52|613.97)
2025-10-21,523342.63,(46481.50|357.55),(79306.00|1025.02),(59937.38|491.29),(215646.06|250.46),(41279.47|307.48),(51734.29|347.21),(28957.94|617.09)
